Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
110;Angela;Kirindy;adult;F;berthae;5;bert;19;12,6;31,5;18;18,5;5;6,6;35;21;8,5;65;120;31;VZ;NA;NA;NA;Fußganz;29.5;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
111;Alfred;Kirindy;adult;M;berthae;5;bert;19;12,5;33;17,7;19;5,5;8,4;36,4;20;8;65;128;32;VZ;NA;NA;NA;Fußganz;28;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
112;Anke;Kirindy;adult;F;berthae;5;bert;16;11;29;17;18;4;7,5;31;20;9;50;115;33;VZ;NA;NA;NA;Fußganz;29;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
113;Arne;Kirindy;adult;M;berthae;5;bert;18,2;13,5;31,3;18,2;20,7;5;9;37,5;21;8,5;70;110;33;VZ;NA;NA;NA;Fußganz;29.5;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
114;Adele;Kirindy;adult;F;berthae;5;bert;18;12,7;30,5;19,1;19,9;4,9;9,1;35;19,1;8,9;65;120;34;VZ;NA;NA;NA;Fußganz;28;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
115;Anne;Kirindy;adult;F;berthae;5;bert;19;13,4;32;21;20;5;8,1;37;20,5;8,7;65;135;34;VZ;NA;NA;NA;Fußganz;29.2;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
116;Anton;Kirindy;adult;M;berthae;5;bert;19,9;13,8;30,7;18;20;4,9;8,9;36;18,9;9;70;125;35;VZ;NA;NA;NA;Fußganz;27.9;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
117;Antje;Kirindy;adult;F;berthae;5;bert;20,1;14;30,5;20,3;20;5,5;8,4;36,5;18;8,4;60;120;36;VZ;NA;NA;NA;Fußganz;26.4;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
118;Alexander;Kirindy;adult;M;berthae;5;bert;19;12,4;30,8;20,6;20,9;5,1;8,6;38;20,9;7,7;65;120;37;VZ;NA;NA;NA;Fußganz;28.6;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
119;Anita;Kirindy;adult;F;berthae;5;bert;19;13;31,4;19,8;20;5,4;9,5;36,8;21,7;9;70;115;#NV;VZ;NA;NA;41;Fußganz;30.7;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
120;Alexandra;Kirindy;adult;F;berthae;5;bert;18;12,2;31,5;19,5;20,5;5,5;9;37;20;8,8;70;125;#NV;VZ;NA;NA;43;Fußganz;28.8;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
121;F50-04bibo;Ambodimahabibo;adult;F;bongolavensis;3;bong;23,8;12,8;36,2;23,1;22,5;7,9;9,9;41,9;26;9,2;87;159;54;GO;NA;closed;NA;NA;NA;-15.49457;47.482979999999998;NA;38197;A1;NA
